"A" "M_bin" "Ycen_int" "Y_cont_int" "Y_bin_int" "Y_count_int" "cen" "C" "delta"
"1" 0 0 0.0313452538304692 -2.66028370650334 0 2 0.0726226774046354 -0.446287455030639 0
"2" 0 1 0.0116740375059487 -1.96174577981373 0 5 0.0726226774046354 1.31585576177329 0
"3" 0 1 0.0113748556539131 -2.46547382638141 0 2 0.0726226774046354 0.657252486084335 0
"4" 0 0 0.0521133540744822 -3.12904584946616 0 3 0.0726226774046354 -0.931353099435726 0
"5" 0 1 0.00652091552287707 -3.2186986807861 0 2 0.0726226774046354 1.2428210042642 0
"6" 0 0 0.00938824272677433 -2.66350954282698 0 2 0.0726226774046354 0.637232051171049 0
"7" 1 1 0.0726226774046354 -2.93758475817591 0 5 0.0726226774046354 3.43272890031743 1
"8" 0 0 0.0380214864688698 -2.9690261044581 0 5 0.0726226774046354 1.59209119077248 0
"9" 0 0 0.0251458149516664 -3.7774455272607 0 0 0.0726226774046354 0.423799231772482 0
"10" 0 0 0.0508465879305041 -5.21048109326821 0 3 0.0726226774046354 1.40662824016858 0
"11" 1 1 0.00563018294675646 -2.40273557731282 1 3 0.0726226774046354 0.95474536550878 0
"12" 1 1 0.0112376803369899 -1.46811887975017 0 3 0.0726226774046354 1.4409000245021 0
"13" 0 0 0.0238003861403378 -2.66977182113074 0 5 0.0726226774046354 3.23537620196202 0
"14" 0 1 0.0556205414080659 -1.4316779032766 0 2 0.0726226774046354 0.413845156021868 0
"15" 1 1 0.00877231337682211 -3.10747880179824 0 2 0.0726226774046354 1.59936024931904 0
"16" 1 0 0.0472161190171486 -3.08854729882581 0 1 0.0726226774046354 2.27423314654812 0
"17" 0 1 0.0139491522869112 -3.3104787944896 0 2 0.0726226774046354 0.0882288457980679 0
"18" 0 1 0.0362771062261728 -1.78504375096846 0 0 0.0726226774046354 -0.375459056648902 0
"19" 0 1 0.0273162085524578 -2.10250683486961 0 1 0.0726226774046354 0.71227313661124 0
"20" 1 1 0.00990251048449442 -3.32806826102029 0 4 0.0726226774046354 1.08148341060439 0
"21" 0 1 0.0188207484744424 -3.30111147807518 0 2 0.0726226774046354 1.33789531393896 0
"22" 1 0 0.0102644209561858 -2.62121457277518 0 2 0.0726226774046354 1.56613753891865 0
"23" 0 1 0.0669468882469901 -1.87589115044819 0 0 0.0726226774046354 0.0657770656473022 0
"24" 1 0 0.0726226774046354 -2.31403418631333 0 0 0.0726226774046354 2.72676981387394 1
"25" 0 1 0.0288265729784695 -2.03308550430766 0 5 0.0726226774046354 2.58831492647447 0
"26" 0 1 0.0141049650966634 -2.0673221261588 0 2 0.0726226774046354 -0.0374466078584299 0
"27" 1 1 0.0726226774046354 -3.76847968088587 0 2 0.0726226774046354 1.36950741973645 1
"28" 1 1 0.00550871235452384 -3.05286719761651 0 4 0.0726226774046354 1.4386581200856 0
"29" 0 0 0.0709219608592516 -3.81859499999376 0 6 0.0726226774046354 0.122003957578962 0
"30" 0 1 0.0683044484974396 -3.53460456449133 0 2 0.0726226774046354 1.76091762834491 0
"31" 0 1 0.0726226774046354 -3.08732142913634 0 1 0.0726226774046354 1.06428198453721 1
"32" 1 1 0.0326056353490243 -3.91496485377471 0 3 0.0726226774046354 3.29847904217297 0
"33" 0 1 0.00944051611018795 -1.24228567951691 0 5 0.0726226774046354 -0.299977981067041 0
"34" 1 1 0.0131094006112248 -2.89211214526808 0 6 0.0726226774046354 -0.0796372313229423 0
"35" 1 1 0.0227562385296266 -2.95549498232385 0 0 0.0726226774046354 2.48832346555083 0
"36" 1 0 0.0114133005247219 -5.38824861353071 0 3 0.0726226774046354 0.769236367942921 0
"37" 0 0 0.0556028305367718 -3.47640790256048 0 6 0.0726226774046354 1.66507385069932 0
"38" 1 1 0.000110054688871896 -3.67049661889867 0 3 0.0726226774046354 -0.160317087247323 0
"39" 1 0 0.0521447941424609 -3.91370392651072 0 2 0.0726226774046354 2.08154085631275 0
"40" 0 0 0.0182332651658767 -3.46732828228754 0 3 0.0726226774046354 1.42421189585585 0
"41" 0 0 0.0269116598548649 -3.12940839587431 0 3 0.0726226774046354 1.77605632604214 0
"42" 1 0 0.0667868626580463 -1.87846725954256 0 1 0.0726226774046354 0.277211282052588 0
"43" 1 0 0.0726226774046354 -1.61038949834287 0 2 0.0726226774046354 1.50907541044418 1
"44" 1 1 0.0726226774046354 -2.68901371383237 0 4 0.0726226774046354 1.1546149746384 1
"45" 1 0 0.00667105096613384 -3.90028943908394 0 7 0.0726226774046354 1.30924723934512 0
"46" 0 1 0.0726226774046354 -1.8907476095876 0 3 0.0726226774046354 1.31651369303221 1
"47" 1 1 0.00464706388223824 -1.99774880617623 0 3 0.0726226774046354 1.70767989596264 0
"48" 1 1 0.0182929860742322 -2.05689471690646 0 2 0.0726226774046354 0.537564674215062 0
"49" 0 1 0.0017369805784767 -4.14469117430022 0 2 0.0726226774046354 2.69830274705661 0
"50" 0 1 0.0419397881629489 -2.88571134953954 0 4 0.0726226774046354 0.138014438627116 0
"51" 0 1 0.0272610835966826 -2.72435260643041 0 5 0.0726226774046354 -0.051829643650058 0
"52" 0 0 0.0726226774046354 -1.90056222475364 0 4 0.0726226774046354 1.5315186188611 1
"53" 0 1 0.0250300963419077 -2.13394718445469 0 2 0.0726226774046354 1.07728399345509 0
"54" 0 0 0.0726226774046354 -2.67649033725492 0 4 0.0726226774046354 -0.024841087793726 1
"55" 0 0 0.0193849687308135 -1.6463760229938 0 6 0.0726226774046354 1.14415928902883 0
"56" 0 0 0.00950536389252691 -3.52000428256002 0 1 0.0726226774046354 0.77910376983582 0
"57" 0 1 0.0109702372326512 -3.33277737059234 0 1 0.0726226774046354 0.0226685044773638 0
"58" 0 0 0.0311143626041683 -4.12466181084996 0 5 0.0726226774046354 1.33528023102327 0
"59" 0 1 0.0726226774046354 -3.0821998821326 0 3 0.0726226774046354 2.58736662168407 1
"60" 0 1 0.0726226774046354 -2.9990218402504 0 2 0.0726226774046354 2.26982587399556 1
"61" 0 0 0.0726226774046354 -1.70671743598803 0 2 0.0726226774046354 3.88733301028683 1
"62" 1 0 0.00645213233948555 -2.00003180866888 0 0 0.0726226774046354 1.68323891416978 0
"63" 1 0 0.00497321866431495 -2.30127352181296 0 0 0.0726226774046354 0.323023912485212 0
"64" 1 1 0.0482666499748536 -3.23138352234025 0 1 0.0726226774046354 0.836129566753771 0
"65" 0 1 0.0726226774046354 -2.1918176067325 0 0 0.0726226774046354 1.70961161253956 1
"66" 0 0 0.036933285255089 -2.87057544747969 0 4 0.0726226774046354 -0.0536691385134165 0
"67" 0 1 0.0110054246468386 -2.99373129296161 0 2 0.0726226774046354 0.0437714979720714 0
"68" 0 1 0.0578946159614796 -2.10553447186591 0 3 0.0726226774046354 0.0548126257842334 0
"69" 0 1 0.0260258857634401 -2.7369569562399 0 3 0.0726226774046354 1.22478844734534 0
"70" 1 1 0.0726226774046354 -4.20210641042272 0 0 0.0726226774046354 1.35945517437962 1
"71" 0 0 0.0068050845690228 -3.36041125087824 0 10 0.0726226774046354 0.336289575319682 0
"72" 0 1 0.0726226774046354 -3.88631072950782 0 2 0.0726226774046354 0.873491819639398 1
"73" 0 1 0.022703205413647 -3.60517519136492 0 0 0.0726226774046354 2.64237424330845 0
"74" 1 0 0.00853348943106874 -2.51339705281467 0 2 0.0726226774046354 0.492901518488119 0
"75" 1 1 0.0726226774046354 -3.91663131242518 0 2 0.0726226774046354 0.481512955661477 1
"76" 1 1 0.0726226774046354 -3.34758507953904 0 2 0.0726226774046354 2.34365300461022 1
"77" 1 0 0.0668561630512471 -2.64129103715185 0 1 0.0726226774046354 1.08748701597367 0
"78" 1 1 0.0726226774046354 -3.86337682138901 0 0 0.0726226774046354 1.53767273698554 1
"79" 1 1 0.00294441996595095 -1.08640810694697 0 0 0.0726226774046354 2.49218637618764 0
