"","A","M_cont","Ycen_noint","Y_cont_noint","Y_bin_noint","Y_count_noint","cen","C","delta"
"1",0,-0.492753327326915,0.0397501571091292,-1.87233177834454,0,5,0.0538923278583805,1.42709994737355,0
"2",0,1.15383933669134,0.0450634819195719,-4.26948998535949,0,3,0.0538923278583805,0.768598555917843,0
"3",0,-0.481762580467807,0.0121217702462812,-4.08022150460669,0,3,0.0538923278583805,1.40399308824373,0
"4",0,-0.293179480541732,0.00411029684671353,-4.51134222882399,0,2,0.0538923278583805,0.45007847128902,0
"5",0,-0.263358355213962,0.0538923278583805,-4.60068909336547,0,2,0.0538923278583805,0.30685960381358,1
"6",0,1.53836938208649,0.00424694212928907,-3.07621088656373,0,2,0.0538923278583805,-0.372565175096797,0
"7",1,0.230612671269295,0.0073928920011662,-3.67569721410585,0,2,0.0538923278583805,0.922578690491061,0
"8",0,0.174475487436514,0.0377850777878608,-3.71433001890514,0,2,0.0538923278583805,0.89395416491228,0
"9",0,1.11290915786786,0.0519362208653157,-2.03089794098943,0,4,0.0538923278583805,1.44066521478613,0
"10",0,-0.513218181900366,0.0538923278583805,-4.61437110656773,0,3,0.0538923278583805,0.715095425763123,1
"11",1,1.28864221110661,0.0328640657960836,-0.369319908484204,0,3,0.0538923278583805,1.63017407418313,0
"12",1,0.418695907461994,0.00961953386402154,-4.64825017589386,0,4,0.0538923278583805,-0.60761340579032,0
"13",0,-2.85871942622222,0.0154461451796677,-1.98173517040527,0,6,0.0538923278583805,0.0845502760426293,0
"14",0,-1.00794277244537,0.0306373794689752,-2.55975584769167,0,8,0.0538923278583805,-0.584764415956269,0
"15",1,1.79558176780808,0.0538923278583805,-4.40932720462192,0,1,0.0538923278583805,-0.115796811000085,1
"16",1,1.99580798467781,0.00940917280022466,-3.20783507720333,0,1,0.0538923278583805,1.68572803311131,0
"17",0,0.59876413294529,0.0105987234473425,-2.81501819925699,0,4,0.0538923278583805,2.13508763383058,0
"18",0,0.960327837174065,0.0538923278583805,-3.4321241085514,0,9,0.0538923278583805,2.09280919355302,1
"19",0,-3.32648541826284,0.0538923278583805,-4.42289052220161,0,3,0.0538923278583805,-0.0839065442870499,1
"20",1,0.667671048298918,0.015006334766451,-3.56313393977161,0,4,0.0538923278583805,0.0435411738387445,0
"21",0,-1.04120287723066,0.0409314390448965,-3.92756438726582,0,3,0.0538923278583805,-0.613346849337158,0
"22",1,0.351175935440529,0.0396005299970439,-1.01332182274913,0,2,0.0538923278583805,1.99794902251801,0
"23",0,0.502333302007684,0.00288180825996007,-2.45640278229025,1,5,0.0538923278583805,1.801066684137,0
"24",1,0.772754456073457,0.0206718428706369,-1.71263525824805,0,3,0.0538923278583805,1.8201047760212,0
"25",0,1.05146833628382,0.00427626442590708,-1.46258162557834,0,2,0.0538923278583805,0.907206235377292,0
"26",0,-1.50872734313516,0.0318697177453053,-3.99087443380471,0,4,0.0538923278583805,0.687748142337789,0
"27",1,-0.627960563998452,0.0104365767254568,-3.87750507160547,0,5,0.0538923278583805,2.93903076500336,0
"28",1,-1.11053462305237,0.0111779713688698,-3.92956630345146,0,3,0.0538923278583805,0.319515920143305,0
"29",0,-0.620460073672522,0.050776289269009,-3.4779982916824,0,5,0.0538923278583805,0.950920794601604,0
"30",0,-0.0591449368255169,0.0538923278583805,-1.69743923005719,0,2,0.0538923278583805,1.12000937081117,1
"31",0,0.742656840752329,0.0442079048517376,-3.21112509948114,0,2,0.0538923278583805,-0.308588787887879,0
"32",1,0.210762126327148,0.0147914259510645,-3.42478861907161,0,1,0.0538923278583805,1.59255501738923,0
"33",0,-1.9461963254001,0.0538923278583805,-3.06996714736415,0,4,0.0538923278583805,-0.0403843740072645,1
"34",1,-0.129013404527557,0.0538923278583805,-3.52678580031419,0,7,0.0538923278583805,-0.195258393896444,1
"35",1,0.179798056285442,0.0431725449319545,-4.55570261892796,0,3,0.0538923278583805,-0.835423309976087,0
"36",1,-0.602949682745164,0.0538923278583805,-3.97802987703086,0,2,0.0538923278583805,1.09616533076723,1
"37",0,-0.64343446326612,0.0117732379048304,-1.91854012310223,1,7,0.0538923278583805,1.19065479294453,0
"38",1,-0.0978401962251635,0.00892357726360117,-2.62112966927155,0,2,0.0538923278583805,1.36148211784239,0
"39",1,-0.239505658389782,0.00312973921253713,-3.36697382517031,0,5,0.0538923278583805,1.93399699763769,0
"40",0,1.12466627621628,0.0431876696511793,-5.44383773550809,0,2,0.0538923278583805,0.147082491852023,0
"41",0,0.0777801323574493,0.0267410633083494,-2.22765015753178,0,2,0.0538923278583805,0.616968875396162,0
"42",1,-0.193079460900025,0.0538923278583805,-3.21961686513066,0,3,0.0538923278583805,1.12037628525467,1
