"A" "M_cont" "Ycen_noint" "Y_cont_noint" "Y_bin_noint" "Y_count_noint" "cen" "C" "delta"
"1" 0 1.00960537205573 0.0243541240528929 -3.03434512943817 0 2 0.0671855912730124 -0.446287455030639 0
"2" 0 -0.216572034219355 0.0525434837008309 -2.29957822920778 0 2 0.0671855912730124 1.31585576177329 0
"3" 0 -1.85103428714509 0.0671855912730124 -4.34024514605376 0 4 0.0671855912730124 0.657252486084335 1
"4" 0 -1.06357964514972 0.052580212384516 -4.69555774351705 0 4 0.0671855912730124 -0.931353099435726 0
"5" 0 -0.241943637596469 0.0671855912730124 -3.25638680775272 0 2 0.0671855912730124 1.2428210042642 1
"6" 0 -1.46013080977719 9.34348257065708e-05 -3.80955108445453 0 5 0.0671855912730124 0.637232051171049 0
"7" 1 0.9796847927273 0.000788026123146673 -3.70778890650694 0 3 0.0671855912730124 3.43272890031743 0
"8" 0 -0.483953846960028 0.0171092482059663 -3.36125639646797 0 1 0.0671855912730124 1.59209119077248 0
"9" 0 -1.26522787743558 0.0128652435707529 -3.7242028510717 0 3 0.0671855912730124 0.423799231772482 0
"10" 0 0.179591677076412 0.0235811781945004 -5.41932572489991 0 1 0.0671855912730124 1.40662824016858 0
"11" 1 1.53806400044698 0.0670197678238423 -2.62650398881609 0 6 0.0671855912730124 0.95474536550878 0
"12" 1 -0.67292908239576 0.0341697019241543 -3.56385708388293 0 2 0.0671855912730124 1.4409000245021 0
"13" 0 -1.00586279078252 0.011777704385054 -4.79382823718389 0 1 0.0671855912730124 3.23537620196202 0
"14" 0 -0.994404811351067 0.0225939493541796 -4.40885465791327 1 4 0.0671855912730124 0.413845156021868 0
"15" 1 -0.142465440797895 0.0671855912730124 -4.60995608474831 0 0 0.0671855912730124 1.59936024931904 1
"16" 1 0.392797770830595 0.014452746937976 -3.85877365548341 0 1 0.0671855912730124 2.27423314654812 0
"17" 0 -1.42269001463937 0.0398389679978169 -2.59514746371174 0 4 0.0671855912730124 0.0882288457980679 0
"18" 0 0.0252637225535641 0.0446738130389681 -3.26247691313198 0 2 0.0671855912730124 -0.375459056648902 0
"19" 0 0.386181484114776 0.0671855912730124 -2.00139834873765 0 2 0.0671855912730124 0.71227313661124 1
"20" 1 -0.513553925515207 0.0160085313788255 -2.6287851974372 0 4 0.0671855912730124 1.08148341060439 0
"21" 0 -0.899890520390671 0.0282431491050908 -2.26835015163726 0 1 0.0671855912730124 1.33789531393896 0
"22" 1 -1.32263586183829 0.00374744043967159 -4.56010799988281 0 4 0.0671855912730124 1.56613753891865 0
"23" 0 0.816441291815421 0.0486129346154271 -3.76824920250885 0 4 0.0671855912730124 0.0657770656473022 0
"24" 1 0.399856652676683 0.00187061855152512 -2.25567269025177 0 2 0.0671855912730124 2.72676981387394 0
"25" 0 0.0430594968493167 0.0613977783834684 -4.74743602728474 0 2 0.0671855912730124 2.58831492647447 0
"26" 0 -0.321718552589815 0.0671855912730124 -1.06124297217673 0 2 0.0671855912730124 -0.0374466078584299 1
"27" 1 0.562207066010408 0.0169505538209023 -1.61995337880129 0 4 0.0671855912730124 1.36950741973645 0
"28" 1 -0.28172636131595 0.0253753568288526 -2.17179803598902 0 1 0.0671855912730124 1.4386581200856 0
"29" 0 -0.328596239996956 0.0671855912730124 -3.05769356642574 0 1 0.0671855912730124 0.122003957578962 1
"30" 0 0.394057782236957 0.0495631837541512 -1.84543618075685 0 5 0.0671855912730124 1.76091762834491 0
"31" 0 -0.531245434571903 0.0511025123835895 -3.48308685943982 0 2 0.0671855912730124 1.06428198453721 0
"32" 1 0.77100370747981 0.00419270733349742 -2.51923961731928 0 1 0.0671855912730124 3.29847904217297 0
"33" 0 -0.971394961573719 0.0356203097208783 -2.43508215915187 0 2 0.0671855912730124 -0.299977981067041 0
"34" 1 -2.86492708399236 0.00428560723245594 -3.61704058312296 0 3 0.0671855912730124 -0.0796372313229423 0
"35" 1 1.68059974575985 0.0132469184362537 -1.68806655233287 0 2 0.0671855912730124 2.48832346555083 0
"36" 1 0.70267069996264 0.0141156297873852 -3.7297349568929 0 3 0.0671855912730124 0.769236367942921 0
"37" 0 0.292419026184173 0.0671855912730124 -1.62133156889006 0 3 0.0671855912730124 1.66507385069932 1
"38" 1 -1.06133243538093 0.0285326894644905 -3.7093696439511 0 2 0.0671855912730124 -0.160317087247323 0
"39" 1 -0.131264156515485 0.0671855912730124 -2.71437968145773 0 4 0.0671855912730124 2.08154085631275 1
"40" 0 0.847645897211294 0.00429483322223214 -1.58634996527694 0 7 0.0671855912730124 1.42421189585585 0
"41" 0 -0.586661670709216 0.0539095049510435 -1.57318784004868 0 1 0.0671855912730124 1.77605632604214 0
"42" 1 0.840545414179096 0.0355326868631481 -4.01583525429175 0 4 0.0671855912730124 0.277211282052588 0
"43" 1 -0.636454835289817 0.0671855912730124 -2.13234464890502 0 0 0.0671855912730124 1.50907541044418 1
"44" 1 -1.02670099214622 0.0598474234222047 -3.49815698435183 0 3 0.0671855912730124 1.1546149746384 0
