"A" "M_bin" "Ycen_noint" "Y_cont_noint" "Y_bin_noint" "Y_count_noint" "cen" "C" "delta"
"1" 0 1 0.0346012985881297 -4.1202483950413 0 3 0.0527846156635208 1.42709994737355 0
"2" 0 0 0.0333684785371657 -3.9767840135846 0 2 0.0527846156635208 0.768598555917843 0
"3" 0 1 0.0238267230712785 -4.55779414201833 0 4 0.0527846156635208 1.40399308824373 0
"4" 0 1 0.0384515309705768 -3.07026669301707 0 1 0.0527846156635208 0.45007847128902 0
"5" 0 0 0.0124976746041211 -3.33111392313759 0 5 0.0527846156635208 0.30685960381358 0
"6" 0 1 0.025895839621194 -4.00024415599819 1 2 0.0527846156635208 -0.372565175096797 0
"7" 1 0 0.0284295080613466 -3.0914649127159 0 4 0.0527846156635208 0.922578690491061 0
"8" 0 0 0.0315034963149212 -1.65104100533197 0 4 0.0527846156635208 0.89395416491228 0
"9" 0 0 0.0527846156635208 -2.91548158890242 1 3 0.0527846156635208 1.44066521478613 1
"10" 0 0 0.0440260049160454 -3.83918770032015 0 2 0.0527846156635208 0.715095425763123 0
"11" 1 0 0.0384901246686622 -2.2277875908541 0 3 0.0527846156635208 1.63017407418313 0
"12" 1 0 0.0527846156635208 -3.62174156581208 0 4 0.0527846156635208 -0.60761340579032 1
"13" 0 1 0.00536195487792866 -2.81288676407019 0 2 0.0527846156635208 0.0845502760426293 0
"14" 0 1 0.0148344605940718 -3.49080357174178 0 3 0.0527846156635208 -0.584764415956269 0
"15" 1 1 0.0101279263279165 -4.78765231736914 0 3 0.0527846156635208 -0.115796811000085 0
"16" 1 1 0.0205386555954909 -1.75928562551062 0 2 0.0527846156635208 1.68572803311131 0
"17" 0 1 0.00770671432429891 -1.87889361407346 0 5 0.0527846156635208 2.13508763383058 0
"18" 0 1 0.0216587314128328 -1.852899475542 0 2 0.0527846156635208 2.09280919355302 0
"19" 0 0 0.0527846156635208 -4.33356150688218 0 0 0.0527846156635208 -0.0839065442870499 1
"20" 1 0 0.00841452059386017 -3.93421919234342 0 2 0.0527846156635208 0.0435411738387445 0
"21" 0 0 0.0527846156635208 -4.22958727008633 0 2 0.0527846156635208 -0.613346849337158 1
"22" 1 1 0.0396133616256598 -1.819838110758 0 5 0.0527846156635208 1.99794902251801 0
"23" 0 0 0.00909645329955375 -2.53438872093485 0 3 0.0527846156635208 1.801066684137 0
"24" 1 0 0.0322168840153717 -3.43205107528198 0 1 0.0527846156635208 1.8201047760212 0
"25" 0 1 0.0223172396548714 -3.25859031594761 0 2 0.0527846156635208 0.907206235377292 0
"26" 0 0 0.0527846156635208 -3.76799240269828 1 2 0.0527846156635208 0.687748142337789 1
"27" 1 1 0.0227109715349933 -1.85242893745995 0 3 0.0527846156635208 2.93903076500336 0
"28" 1 1 0.0527846156635208 -4.11580379267678 0 3 0.0527846156635208 0.319515920143305 1
"29" 0 1 0.0232252268697772 -0.275055508185712 0 2 0.0527846156635208 0.950920794601604 0
"30" 0 0 0.0462351141020569 -2.21847945672077 0 1 0.0527846156635208 1.12000937081117 0
"31" 0 1 0.0517949314553553 -1.00593143884703 0 3 0.0527846156635208 -0.308588787887879 0
"32" 1 1 0.00410297537810689 -2.59975758191978 0 3 0.0527846156635208 1.59255501738923 0
"33" 0 1 0.0321870638740235 -4.62676782777943 0 2 0.0527846156635208 -0.0403843740072645 0
"34" 1 0 0.0167399442731761 -1.86573990460825 0 2 0.0527846156635208 -0.195258393896444 0
"35" 1 0 0.0497638520697055 -2.1240356202922 0 6 0.0527846156635208 -0.835423309976087 0
"36" 1 0 0.0182033589985576 -3.48815197736139 0 3 0.0527846156635208 1.09616533076723 0
"37" 0 0 0.0438746528276285 -2.95122601673448 0 1 0.0527846156635208 1.19065479294453 0
"38" 1 1 0.0455317949363308 -2.97455189694516 0 6 0.0527846156635208 1.36148211784239 0
"39" 1 1 0.00680425961858542 -4.06292618964194 0 3 0.0527846156635208 1.93399699763769 0
"40" 0 1 0.0527846156635208 -2.6488202563486 0 2 0.0527846156635208 0.147082491852023 1
"41" 0 1 0.0135247421514697 -3.26324713920941 0 4 0.0527846156635208 0.616968875396162 0
"42" 1 0 0.0445977134399114 -1.58276783377056 0 5 0.0527846156635208 1.12037628525467 0
"43" 1 1 0.0258861368634469 -2.64280201070963 1 2 0.0527846156635208 1.93073100234741 0
"44" 1 0 0.00442983684742987 -2.79310648632543 0 3 0.0527846156635208 1.15253204734302 0
"45" 1 0 0.0527846156635208 -2.66194392429596 0 5 0.0527846156635208 3.280282024176 1
"46" 0 1 0.0527846156635208 -3.59632810154836 0 5 0.0527846156635208 2.33701597866434 1
"47" 1 1 0.0324060954316802 -3.83608290020063 0 1 0.0527846156635208 0.354500165955198 0
"48" 1 1 0.0527846156635208 -2.66678974093547 1 3 0.0527846156635208 0.885664690174129 1
"49" 0 0 0.0318306670903254 -3.22992558255163 0 4 0.0527846156635208 0.417976452899721 0
"50" 0 1 0.0246431146467643 -3.27278356358653 0 2 0.0527846156635208 -0.70285947477036 0
"51" 0 1 0.0128054614653246 -1.51878181489419 0 4 0.0527846156635208 0.737638180382835 0
"52" 0 0 0.0450239712324385 -1.89496508153319 0 7 0.0527846156635208 0.84339349067095 0
"53" 0 1 0.0469991506683298 -4.48517277141431 0 3 0.0527846156635208 1.21418665135541 0
"54" 0 1 0.00676264266501286 -2.63711750823695 0 3 0.0527846156635208 1.41484575511801 0
"55" 0 0 0.0527846156635208 -3.26194851168422 0 4 0.0527846156635208 1.31093733823164 1
"56" 0 1 0.0330076954854471 -4.15002163171473 0 1 0.0527846156635208 0.375326486103717 0
"57" 0 1 0.0231407524223411 -2.09958179754351 1 6 0.0527846156635208 1.8231634929049 0
"58" 0 0 0.0376283024441084 -3.21738366239238 0 4 0.0527846156635208 -0.140328519228992 0
"59" 0 1 0.0422729338844966 -4.48837054247196 0 1 0.0527846156635208 2.7318738678042 0
"60" 0 1 0.0084933191475885 -4.51213945126862 0 3 0.0527846156635208 2.90532251714139 0
"61" 0 0 0.0441889359876012 -2.95275843106417 0 3 0.0527846156635208 1.04035643759684 0
"62" 1 1 0.0394128371171444 -2.62610765323475 0 3 0.0527846156635208 0.789400360515109 0
"63" 1 1 0.0123687462032011 -3.81032161781073 0 3 0.0527846156635208 0.0315430519961709 0
"64" 1 1 0.0123497090855728 -4.24153247173044 0 4 0.0527846156635208 0.915011012918122 0
"65" 0 1 0.0268862061250196 -3.81701137535336 0 3 0.0527846156635208 0.723110010740648 0
"66" 0 0 0.0307950216997873 -3.84423631444632 0 3 0.0527846156635208 1.15542396910217 0
"67" 0 1 0.0288514066909801 -3.65458551049146 0 3 0.0527846156635208 2.9637976934727 0
"68" 0 0 0.0480707087729316 -3.49291777110681 0 2 0.0527846156635208 1.02984448256902 0
"69" 0 0 0.0527846156635208 -2.62283092689248 0 1 0.0527846156635208 -1.51383458188245 1
"70" 1 0 0.0120049185736375 -2.47464789313359 0 2 0.0527846156635208 1.63844635472489 0
"71" 0 0 0.0527846156635208 -4.12605599555227 0 2 0.0527846156635208 0.924408214665426 1
"72" 0 0 0.028060941682329 -4.59779050604711 0 6 0.0527846156635208 -0.157335113361228 0
"73" 0 0 0.0527846156635208 -3.59314395435003 0 1 0.0527846156635208 2.09503998819015 1
"74" 1 1 0.0478637333513507 -2.88008455555995 0 2 0.0527846156635208 0.369785733491406 0
"75" 1 1 0.0249012168503752 -3.24695739522457 0 5 0.0527846156635208 1.90473847898529 0
"76" 1 1 0.0100389926501993 -3.60365028181377 0 6 0.0527846156635208 0.18196922982784 0
"77" 1 1 0.0342139526798637 -2.74908487811266 0 3 0.0527846156635208 1.18534943744489 0
"78" 1 0 0.0523294877196903 -2.30316225552141 0 4 0.0527846156635208 1.57805306607412 0
"79" 1 1 0.0317291324059588 -3.10552552567696 0 3 0.0527846156635208 1.90350074118171 0
"80" 0 0 0.0236069134055375 -2.2484572678618 1 8 0.0527846156635208 1.24054330539738 0
"81" 0 0 0.0203818178379863 -2.61019670682281 0 5 0.0527846156635208 2.76232246023163 0
"82" 0 0 0.0133333377255046 -4.5125919665831 0 2 0.0527846156635208 -0.0853641293740119 0
"83" 1 1 0.0527846156635208 -2.42674317962186 0 0 0.0527846156635208 0.316337727807162 1
"84" 1 0 0.0254506754461695 -3.4832724692041 0 7 0.0527846156635208 1.1502229748834 0
"85" 0 1 0.00590133046922783 -3.89665554063369 0 0 0.0527846156635208 1.30072447000594 0
"86" 0 1 0.0514133534936327 -3.14478004034859 0 3 0.0527846156635208 1.29318597358495 0
"87" 1 0 0.00887480569886877 -4.05629977637148 0 2 0.0527846156635208 2.27783152438326 0
"88" 0 1 0.0227058944953879 -2.00617244521183 0 2 0.0527846156635208 0.532003433226254 0
"89" 0 1 0.0213976565648434 -3.59250941701996 0 4 0.0527846156635208 0.65587615181089 0
"90" 1 0 0.0527846156635208 -2.47351121236892 0 3 0.0527846156635208 2.60240770671039 1
"91" 1 1 0.0374607769700701 -2.93631716961435 0 6 0.0527846156635208 -0.495975965000115 0
"92" 0 1 0.00983480420496708 -2.45816139618401 0 0 0.0527846156635208 3.94926203147731 0
"93" 0 0 0.0525256801001986 -3.87263191377115 0 2 0.0527846156635208 0.490970588820843 0
"94" 0 0 0.0527846156635208 -3.45715831534587 0 6 0.0527846156635208 0.770192927740104 1
"95" 1 1 0.0524207491284852 -3.01406571835762 0 1 0.0527846156635208 1.49766171343705 0
"96" 0 0 0.0152118156449047 -1.6266435453694 0 1 0.0527846156635208 2.42788567712847 0
"97" 0 1 0.0527846156635208 -2.20321890831318 0 3 0.0527846156635208 1.13950052337721 1
"98" 0 1 0.0217751964086574 -3.49681839804433 0 4 0.0527846156635208 0.730902514192729 0
"99" 0 1 0.00997164026324795 -3.57583566314582 0 2 0.0527846156635208 0.584477184216539 0
"100" 1 1 0.0527846156635208 -1.91177902468109 1 1 0.0527846156635208 0.108844179157673 1
"101" 0 0 0.00593027362969031 -3.08965037885404 0 0 0.0527846156635208 1.49373242880234 0
"102" 0 1 0.031425323120615 -2.83729211535519 0 7 0.0527846156635208 0.737463651714994 0
"103" 0 1 0.0178637821160734 -1.32289920253442 0 2 0.0527846156635208 1.08009287224976 0
"104" 0 1 0.0527846156635208 -1.54506195226869 0 4 0.0527846156635208 0.100508596553519 1
