"","A","M_cont","Ycen_int","Y_cont_int","Y_bin_int","Y_count_int","cen","C","delta"
"1",0,1.00960537205573,0.035841708983829,-2.8093481098922,0,6,0.0553103588000581,-0.446287455030639,0
"2",0,-0.216572034219355,0.0203092938848623,-4.61131356580034,0,1,0.0553103588000581,1.31585576177329,0
"3",0,-1.85103428714509,0.0193747447401783,-2.77364873398786,0,5,0.0553103588000581,0.657252486084335,0
"4",0,-1.06357964514972,0.040595438642415,-3.20916669142842,0,1,0.0553103588000581,-0.931353099435726,0
"5",0,-0.241943637596469,0.0183958658683927,-3.75551448848219,0,6,0.0553103588000581,1.2428210042642,0
"6",0,-1.46013080977719,0.0553103588000581,-2.81364572182777,0,2,0.0553103588000581,0.637232051171049,1
"7",1,0.9796847927273,0.0250314147432949,-1.81730068829858,0,4,0.0553103588000581,3.43272890031743,0
"8",0,-0.483953846960028,0.0368917467023637,-2.73445100543845,0,3,0.0553103588000581,1.59209119077248,0
"9",0,-1.26522787743558,0.0553103588000581,-4.57281860291787,0,4,0.0553103588000581,0.423799231772482,1
"10",0,0.179591677076412,0.0215182684200444,-2.10571948311074,1,9,0.0553103588000581,1.40662824016858,0
"11",1,1.53806400044698,0.0364555115186047,-3.35555786433838,0,2,0.0553103588000581,0.95474536550878,0
"12",1,-0.67292908239576,0.0221325754862563,-5.03180691507145,0,2,0.0553103588000581,1.4409000245021,0
"13",0,-1.00586279078252,0.0524305699442855,-4.48218049744836,1,0,0.0553103588000581,3.23537620196202,0
"14",0,-0.994404811351067,0.0553103588000581,-2.62942979169118,0,5,0.0553103588000581,0.413845156021868,1
"15",1,-0.142465440797895,0.0272108017509356,-3.13773187417797,0,7,0.0553103588000581,1.59936024931904,0
"16",1,0.392797770830595,0.0162019244650182,-5.98481923376061,0,2,0.0553103588000581,2.27423314654812,0
"17",0,-1.42269001463937,0.0399339039474187,-4.16483807307813,0,3,0.0553103588000581,0.0882288457980679,0
"18",0,0.0252637225535641,0.0553103588000581,-3.56099368405371,0,3,0.0553103588000581,-0.375459056648902,1
"19",0,0.386181484114776,0.0524525388607786,-3.55277362981114,0,3,0.0553103588000581,0.71227313661124,0
"20",1,-0.513553925515207,0.0183623276119349,-4.81039741787469,0,4,0.0553103588000581,1.08148341060439,0
"21",0,-0.899890520390671,0.0553103588000581,-3.35356000764448,0,5,0.0553103588000581,1.33789531393896,1
"22",1,-1.32263586183829,0.0438262760910921,-5.18250894321134,0,3,0.0553103588000581,1.56613753891865,0
"23",0,0.816441291815421,0.0328853576296892,-2.8663995414905,0,1,0.0553103588000581,0.0657770656473022,0
"24",1,0.399856652676683,0.0143534032848801,-1.3518926039823,0,5,0.0553103588000581,2.72676981387394,0
"25",0,0.0430594968493167,0.00619002052088359,-4.29115835472808,0,8,0.0553103588000581,2.58831492647447,0
"26",0,-0.321718552589815,0.0553103588000581,-3.50118350391029,0,4,0.0553103588000581,-0.0374466078584299,1
"27",1,0.562207066010408,0.00812436418877802,-4.51182867498517,0,6,0.0553103588000581,1.36950741973645,0
"28",1,-0.28172636131595,0.0553103588000581,-3.1636035600201,0,3,0.0553103588000581,1.4386581200856,1
"29",0,-0.328596239996956,0.0103135867201592,-2.27922741272609,0,4,0.0553103588000581,0.122003957578962,0
"30",0,0.394057782236957,0.0506339052744224,-3.06961385169472,0,5,0.0553103588000581,1.76091762834491,0
"31",0,-0.531245434571903,0.0408154359293067,-3.50728044419129,0,1,0.0553103588000581,1.06428198453721,0
"32",1,0.77100370747981,0.034278188360766,-2.67634173998017,0,2,0.0553103588000581,3.29847904217297,0
"33",0,-0.971394961573719,0.0169499687077534,-2.83610688690569,0,3,0.0553103588000581,-0.299977981067041,0
"34",1,-2.86492708399236,0.0151029348311209,-3.59870928701695,0,2,0.0553103588000581,-0.0796372313229423,0
"35",1,1.68059974575985,0.0553103588000581,-2.73980447975542,0,4,0.0553103588000581,2.48832346555083,1
"36",1,0.70267069996264,0.0553103588000581,-4.53210423187639,0,1,0.0553103588000581,0.769236367942921,1
